Actor,Birthplace,Birthdate,Nationality,Ethnicity,Height,Weight,Tit Size,Cup Size,Measurements,Hair Color,Eye Color,Years Active,Alias
Abbee Kimberly,"London, England",1988-01-01,British,Latin,"5'3""",126,34,G,34G-26-36,Brown,Brown,2011-present,'Mia Yasmin'
Abigail Mac,"Baltimore, Maryland, United States of America",1988-06-02,American,Caucasian,"5'2""",116.6,34,D,34D-24-36,Brown,Brown,2012-present,"'Abby Mac', 'Abigail Mack', 'FTV Abigail'"
Aleksa Nicole,"Orange County, California, United States of America",1987-04-24,American,Latin,"5'0""",105,32,D,32D-24-33,Brown,Brown,2009-2018,"'Aleksa Nicole', 'Aleska Nicole', 'Alexa Nicole'"
Alena Croft,"Arizona, United States of America",1981-08-25,American,Caucasian,"5'4""",118.8,34,F,34F-26-38,Blonde,Blue,2013-present,"'AZ Blonde', 'AZBlonde', 'Alana Croft', 'Alena'"
Alessandra Jane,"Moscow, Russia",1994-04-08,Russian,Caucasian,"5'2""",107.8,32,D,32D-23-34,Blonde,Blue,2014-present,"'Alessandra J', 'Alessandra Jane', 'Alexa Jane', 'Little Ferguson', 'Tatiana Maier', 'Tatiana Sergeeva'"
Aletta Ocean,"Budapest, Hungary",1987-12-14,Hungarian,Caucasian,"5'7""",132,38,DDD,38DDD-26-37,Black,Grey,2007-present,"'Aletta', 'Aletta Alien', 'Aletta Florancia', 'Aletta Florencia', 'Aletta Nubiles', 'Alien', 'Artemis Gold', 'Beatrice P', 'Doris', 'Doris Alien', 'Florancia', 'Florencia', 'Jessica Kline', 'Nikita Charm'"
Alexa Vega,"Miami, Florida, United States of America",1988-08-27,American,Latin,"5'8""",134.2,32,B,32B-25-32,Blonde,Brown,2018-2019,"'Alexa PenaVega', 'Alexxa Vega', 'Lexa Vega'"
Alexia Vosse,"La Jolla, California, United States of America",1987-05-12,American,Caucasian,"5'1""",110,32,DD,32DD-24-38,Blonde,Blue,2005-present,"'Alexia Vosse', 'Coco Noel', 'Lauryn', 'Loryn', 'Payton West'"
Alexis Amore,"Higuereta, Lima , Peru",1978-12-29,Peruvian,Latin,"5'1""",114,34,DD,34DD-25-34,Black,Brown,1999-present,"'Alexis Amour', 'Alexis Lamore'"
Alexis Bardot,"Budapest, Hungary",1997-08-30,Hungarian,Caucasian,"5'8""",121,34,E,,Blonde,Green,2015-present,None
Alexis Fawx,"Sioux Falls, South Dakota, United States of America",1975-06-23,American,Caucasian,"5'3""",99,32,DDD,32DDD-24-33,Blonde,Hazel,2010-present,"'Alexis Faux', 'Alexis Fauxx', 'Alexis Fawz'"
Alexis Ford,"Glendale, California, United States of America",1988-04-24,American,Caucasian,"5'4""",121,33,D,33D-24-32,Blonde,Blue,2008-2018,'Nicole'
Alexis Malone,"Pittsburgh, Pennsylvania, United States of America",1979-06-29,American,Caucasian,"5'6""",125.4,34,DD,34DD-25-36,Blonde,Brown,2002-2016,"'Alexis Moon', 'Gloranna Malone', 'Ivy Alexiss'"
Alexis Zara,"San Diego, California, United States of America",1990-07-27,American,Latin,"5'6""",114.4,34,D,34D-27-37,Brown,Brown,2019-present,'Alex Zara (FTV Milfs)'
Alexxa Vice,"Leeds, England, United Kingdom",,British,Caucasian,"5'5""",118.8,32,DDD,32DDD-26-34,Brown,Blue,2016-present,'Lexxi Rocks'
Alice Judge,United Kingdom,1991-05-31,British,Caucasian,"5'6""",,32,G,32G-24-34,Black,Brown,2018-present,None
Alicia Amira,"Capital Region of Denmark, Denmark",1989-11-30,Denmark,Caucasian,"5'5""",136.4,34,DD,,Blonde,Blue,2016-present,None
Alina Belle,"Rio de Janeiro, Brazil",1995-03-27,Brazilian,Latin,"5'0""",125.4,32,DD,32DD-27-38,Black,Brown,2019-present,'Alina Bell'
Alison Avery,"Los Angeles, California, United States of America",1983-10-10,American,Caucasian,"5'6""",129.8,34,DD,34DD-24-35,Blonde,Blue,2019-present,None
Alison Star,"Budapest, Hungary",1985-10-18,Hungarian,Caucasian,"5'3""",92.4,36,DD,36DD-23-33,Black,Brown,2009-present,"'Alison', 'Alison Lohman', 'Allison Star', 'Isabella', 'Izabella Varga'"
Alix Lynx,"New York, United States of America",1989-05-17,American,Caucasian,"5'4""",105.6,34,D,34D-23-34,Blonde,Blue,2014-present,'Layton Parker'
Alyssa Divine,"Preston, England, United Kingdom",1990-10-13,British,Black,"5'2""",105.6,30,F,30F-26-32,Brown,Brown,2012-present,None
Alyssa Lynn,"Pennsylvania, United States of America",1980-04-30,American,Caucasian,"5'3""",110,32,F,32F-25-27,"Blonde, Red",Brown,2013-present,None
Amanda Ahola,"Jyväskylä, Finland",1996-02-01,Finnish,Caucasian,"5'4""",130,30,J,30J-24-30,Blonde,Green,2018-present,'Amanda Toy'
Amber Alena,United States of America,1995-10-15,American,Caucasian,"5'5""",112.2,38,J,38J-28-40,Blonde,Blue,2016-present,None
Amber Jade,"Brighton, England, United Kingdom",1993-11-28,British,Caucasian,"5'3""",152,32,G,,Blonde,Blue,2019-present,None
Amber Jayne,"Sheffield, England, United Kingdom",1979-03-21,British,Caucasian,"5'6""",110,32,E,32E-25-36,Blonde,Blue,2011-present,'Amanda Jayne'
Amia Miley,"Florida, United States of America",1990-11-23,American,Caucasian,"5'2""",105.6,30,D,30D-23-32,Brown,Brown,2009-present,"'Abbey Nubiles', 'Amaia Miley', 'Amaia Moretti', 'Amea Moretti', 'Ami Miley', 'Amia Moretti', 'Ileana FTV', 'Miss Moretti'"
Amy Anderssen,"Windsor, Ontario, Canada",1985-05-04,Canadian,Caucasian,"5'5""",125.4,34,HH,34HH-26-30,Black,Green,2006-present,"'Amy Azzura', 'Amy Azzurra', 'Amy Juggs', 'Jayna James'"
Amy Starr,"Leipzig, Sachsen, Germany",1987-05-06,German,Caucasian,"5'9""",123,32,F,,Blonde,Blue,2015-present,"'Amy Star', 'AmyStarr', 'Herrin Amy', 'SexyAmy'"
Anaiz Kassianov,,1994-11-20,,Caucasian,"5'4""",,32,G,,,Blue,,'bunnyblondy'
Anastasia Sweet,"Saint Petersburg, Russia",1995-06-08,Russian,Caucasian,"5'6""",121,36,F,36F-27-37,Black,Green,2014-present,'Anastasia Doll'
Andy Adams,"Florida, United States of America",1991-01-01,Australian,Caucasian,"4'11""",154,36,GG,36GG-31-41,Blonde,Hazel,2019-present,None
Angelica Taylor,"Georgia, United States of America",1991-05-28,American,Latin,"5'6""",121,34,DDD,34DDD-28-35,Black,Brown,2013-present,"'August Taylor', 'Michele Novacich', 'Nadia Night', 'Nadia Villanova'"
Angelina Valentine,"Lexington, Kentucky, United States of America",1986-09-19,American,Latin,"5'4""",114.4,34,E,34E-24-35,Brown,Brown,2007-2017,"'Andelina Valentine', 'Angelina Valentina', 'Angle Valentine', 'Mistress Angelina Valentine'"
Anna Bell Peaks,"Columbus, Georgia, United States of America",1981-07-26,American,Caucasian,"5'6""",118.8,32,G,32G-26-32,Red,Blue,2015-present,"'Ann Bell Peaks', 'Annabell Peaks', 'RedAndWild0'"
Annina Ucatis,"Bremerhaven, Bremen, Germany",1978-12-22,German,Caucasian,"5'3""",114,42,G,42G-26-34,Blonde,Blue,2005-present,"'Annina', 'Annina Hills', 'Vanity Svenson'"
Antonia Deona,"Cardiff City, Wales, United Kingdom",1979-11-12,Welsch,Caucasian,"5'3""",105.6,32,E,32E-24-33,Blonde,Blue,2005-present,"'Antonia', 'Antonia Denoa', 'Brandy Luck', 'Dion', 'Jaime Lee', 'Jamie', 'Jamie Lee', 'Jamie Lee Summers', 'Jamie Leigh', 'Jamie Lu Delamane', 'Jamie West', 'Stacey Saran'"
Ariane Saint-Amour,"La Sarre, Quebec, Canada",1990-01-19,Canadian,Caucasian,"5'7""",130,30,J,30J-25-36,Brown,Brown,2008-present,None
Ashly Anderson,"Enterprise, Alabama, United States of America",1996-07-28,American,Caucasian,"5'4""",114.4,34,D,34D-22-32,Brown,Blue,2017-2019,"'Ashley Anderson', 'Ashly Anderson'"
Astrid Star,"Katy, Texas, United States of America",1989-06-11,American,Caucasian,"5'7""",110,34,DD,34DD-24-36,Blonde,Blue,2017-present,None
Audrey Bitoni,"Pasadena, California, United States of America",1986-08-16,American,Caucasian,"5'3""",105,34,DD,34DD-23-33,Black,Hazel,2006-present,"'Audrey', 'Audrey Bittoni', 'Audri Bitoni'"
August Ames,"Antigonish, Nova Scotia, Canada",1994-08-23,Canadian,Caucasian,"5'6""",114.4,32,D,32D-23-28,"Black, Brown, Blond",Brown,2013-2017,"'August Aimes', 'Augustus Ames', 'Hailey Edwards'"
Ava Van Rose,"Dublin, Ireland",1987-11-17,Irish,Caucasian,"4'11""",,32,E,,Brunette,Hazel,2012-present,'Bridget Byrne'
Azul Hermosa,"Portland, Oregon, United States of America",1992-09-15,American,Latin,"5'7""",125.4,34,F,34F-24-36,Brown,Hazel,2020-present,'Sarah Tena'
BB Shorty,"Berlin, Germany",1993-01-18,German,Caucasian,"5'1""",121,,,34-32-34,Blonde,Brown,2019-present,"'BB-Shorty', 'Big Boobs Shorty', 'b.b shorty', 'b.b_shorty'"
Barbie Bangs,,,,,,,,,,,,,nan
Barbie Brilliant,"Chemnitz, Saxony, Germany",1990-08-16,German,Caucasian,"5'5""",119,30,H,,Blonde,Blue,2012-present,'Vanity Porn'
Barbie Esm,"Jilemnice, Czech Republic",1995-06-14,Czech,Caucasian,"5'6""",110,36,DD,36DD-26-32,Black,Blue,2019-present,"'Alexandra', 'Sabina'"
Barbie Sins,"London, England, United Kingdom",1991-12-17,British,Caucasian,"5'1""",105.6,34,D,34D-24-34,Blonde,Green,2017-present,None
Bella Bellz,"Atlanta, Georgia, United States of America",1985-03-26,American,Caucasian,"5'7""",129.8,34,B,34B-23-38,Brown,Brown,2014-2019,'Bella Bends'
Bella French,"Montreal, Quebec, Canada",1987-10-11,Canadian,Caucasian,"5'8""",125,34,H,34H-24-36,Blonde,Hazel,2012-present,None
Bianca Burke,"Columbus, Ohio, United States of America",1984-12-29,American,Caucasian,"5'2""",114.4,32,DD,32DD-26-35,Brown,Hazel,2019-present,'Sparkle Bunneh'
Billi Bardot,"Charlotte, North Carolina, United States of America",1977-11-15,American,Caucasian,"5'4""",128,34,M,34M-26-32,Blonde,Brown,2019-present,'Holly Hale'
Black Angelika,"Bucharest, Romania",1987-10-25,Romanian,Caucasian,"5'4""",121,36,D,36D-23-34,Black,Brown,2007-2015,"'Amelie Loren', 'Angelica', 'Angelika Black', 'Angelika Leopard', 'Black Angelika', 'Black Anglelica', 'Blacky', 'Rima A.'"
Blanche Bradburry,"Jindrichuv Hradec, Vychodocesky Kraj, Czech Republic",1988-09-15,Czech,Caucasian,"5'5""",121,34,DD,34DD-25-36,Blonde,Blue,2012-present,"'Barbie', 'Beata', 'Blanche B', 'Blanche Bradbury', 'Gabby', 'Hotblanche'"
Blanche Summer,"Bucharest, Romania",1996-11-28,Romanian,Caucasian,"5'8""",118.8,34,D,34D-24-36,Blonde,Green,,"'Blanche', 'Cristina Nitulescu', 'Crystal Anne'"
Bonnie Rotten,"Cincinnati, Ohio, United States of America",1993-05-09,American,Caucasian,"5'6""",105.6,34,DD,34DD-24-30,Black,Hazel,2012-2015,'Dixie'
Brandi Love,"Raleigh, North Carolina, United States of America",1973-03-29,American,Caucasian,"5'6""",125.4,36,D,36D-25-36,Blonde,Brown,2006-present,'Tracey Lynn Livermore'
Briana Banderas,"Moscow, Russia",1996-12-25,Russian,Caucasian,"5'8""",151.8,34,B,34B-27-38,Blonde,Green,2015-present,"'Briana Banderas', 'Briana Bounce'"
Bridgette B,"Barcelona, Catalonia, Spain",1983-10-15,Spanish,Mediteranean,"5'8""",138.6,34,DDD,34DDD-27-34,Blonde,Brown,2008-present,"'Bridget B', 'Bridgett B.', 'Bridgette B.', 'Spanish Doll'"
Britney Amber,"Banning, California, United States of America",1986-11-10,American,Caucasian,"5'4""",125.4,36,D,36D-26-36,Blonde,Blue,2008-present,"'Amber Rizzo', 'Britney Ambers', 'Brittany Amber', 'Brittany Angel', 'Brittney Amber'"
Britney Shannon,"New Jersey, United States of America",1983-02-09,American,Caucasian,"5'6""",114.4,34,D,34D-25-36,Blonde,Brown,2013-present,"'Britney Shanon', 'Brittany Shannon'"
Brittany Andrews,"Milwaukee, Wisconsin, United States of America",1973-08-13,American,Caucasian,"5'7""",114.4,38,E,38E-24-34,Blonde,Blue,1995-present,"'Brittany Andrew', 'Brittany Edwards', 'Brittney Andrews', 'Miss Brittany Andrews'"
Brook Ultra,"Wilmington, Delaware, United States of America",1992-04-03,American,Caucasian,"5'0""",105.6,36,GG,36GG-24-36,Brown,Green,2014-2017,'Brooke Ultra'
Brooke Banner,"Gainesville, Florida, United States of America",1983-09-28,American,Caucasian,"5'8""",121,34,F,34F-26-36,Blonde,Blue,2004-present,"'Brook', 'Brook Taylor', 'Brooke', 'Brooke Band', 'Brooke Banks', 'Brooke Banx', 'Brooke Biggs', 'Brooke Brand', 'Brooke FTV', 'Chrissy', 'Lindsay Brooke', 'Lindsey Brooke', 'Maelina', 'Miss Brooke'"
Brooke Beretta,"Miami, California, United States of America",1991-02-20,American,Caucasian,"5'7""",134.2,32,D,32D-26-36,Brown,Brown,2017-present,None
Brooke Haven,"Sonora, California, United States of America",1979-11-25,American,Caucasian,"5'1""",123.2,34,D,34D-28-31,Blonde,Brown,2004-present,"'Brook', 'Brook Haven', 'Brooke Blaire', 'Houstan', 'Miss B Haven', 'Mrs. Haven', 'Satin', 'Serena Maffucci', 'Vanessa Chablis'"
Brooke Lea,"London , England , United Kingdom",1987-07-28,British,Caucasian,"5'4""",,32,F,32F-24-35,Blonde,Brown,2017-present,None
Brooke Tyler,"Cincinnati, Ohio, United States of America",1969-02-28,American,Caucasian,"5'8""",114.4,34,H,34H-25-32,Blonde,Brown,2011-present,'Alexa Brooke'
Brooklyn Blue,"London, England, United Kingdom",1991-01-07,British,Caucasian,"5'6""",121,30,G,30G-24-36,Blonde,Blue,2012-present,'Brooklyn Belle'
Brooklyn Chase,"San Diego, California, United States of America",1985-03-14,American,Caucasian,"5'1""",110,32,G,32G-25-37,Brown,Brown,2012-present,None
Bryci,"British Columbia, Canada",1985-11-30,Canadian,Caucasian,"5'3""",107,28,FF,28FF-24-34,Black,Brown,2009-present,"'Bryci Lea', 'Bryci Miller', 'Miss B'"
Bunny Colby,"Portlan, Oregon, United States of America",1992-12-01,American,Caucasian,"5'6""",110,36,F,36F-24-36,Blonde,Green,2017-present,"'Nadya Babakova', 'Nadya Nabakova'"
Cali Carter,"Sacramento, California, United States of America",1990-02-23,American,Caucasian,"5'1""",110,34,D,34D-24-32,Blonde,Blue,2013-present,"'Calie Carter', 'Callie Carter'"
Calisi Ink,"Rotterdam, South Holland, The Netherlands",1982-07-18,Dutch,Caucasian,"5'9""",136.4,34,E,34E-23-33,Brown,Brown,2016-present,"'Angel Sky', 'Calisa Ink', 'Carlisi Ink', 'Nathalia Hardcore', 'Nathalie Hardcore'"
Candy Bee,Germany,1994-10-27,German,Caucasian,"5'3""",,34,F,,Blonde,Blue,2018-present,None
Candy Manson,"Chicago, Illinois, United States of America",1983-11-11,American,Caucasian,"5'2""",121,32,G,32G-24-34,Blonde,Green,2000-present,'Candy Mason'
Candy Sexton,"Maidstone, England, United Kingdom",1987-01-19,British,Caucasian,"5'4""",116.6,32,E,32E-23-33,Brown,Brown,2013-2015,None
Candy Strong,"Budapest, Hungary",1980-02-18,Hungarian,Caucasian,"5'5""",121,38,D,38D-25-37,Brown,Blue,2005-2015,"'Candy Cummer', 'Candy N', 'Eliza N', 'Eliza Nagy'"
Cara Brett,"Worksop, Nottinghamshire, United Kingdom",1988-02-17,British,Caucasian,"5'4""",112,32,G,32G-24-32,Blonde,Brown,2008–2017,'Kara'
Carla Pryce,Australia,1996-01-01,Australian,Caucasian,"5'3""",121,32,G,32G-23-34,Blonde,Brown,2017-present,None
Casca Akashova,Russia,1985-02-13,Russian,Caucasian,"5'3""",114.4,32,G,32G-26-34,Blonde,Green,2019-present,None
Catalina Cruz,"Cleveland, Ohio, United States of America",1979-09-14,American,Caucasian,"5'2""",99,32,E,32E-23-33,Brown,Brown,2007-present,"'Jenna Z', 'JennaZ'"
Cathy Heaven,"Budapest, Hungary",1980-07-28,Hungarian,Caucasian,"5'6""",132,36,F,36F-26-36,Brown,Brown,2009-present,"'Cathy', 'Cathy B', 'Cathy E.', 'Cathy Haven', 'Chaty Heaven', 'Evelin Garamvolgyi', 'Kathy Heaven'"
Chantelle Fox,"Rugby, England, United Kingdom",1986-04-25,British,Caucasian,"5'1""",110,32,F,32F-26-34,Black,Brown,2010-2019,'Fiona Cooper'
Charley Atwell,"Essex, England, United Kingdom",1986-03-24,British,Caucasian,"5'7""",125.4,34,G,34G-26-34,Brown,Hazel,2010-present,"'Charley Photodromm', 'Charleya'"
Charlie Monaco,"Kent, England, United Kingdom",1985-11-15,British,Caucasian,"5'6""",107.8,34,FF,34FF-24-34,Blonde,Blue,2008-present,"'Charlotte Stainton', 'Laura M'"
Chelsey Lanette,"Zeeland, The Netherlands",1991-03-26,Dutch,Caucasian,"5'10""",121,34,D,34D-28-39,Blonde,Green,2012-present,"'Chasley Lanette', 'Chelsea Lanette', 'Chelsey Lanett'"
Chessie Kay,"London, England, United Kingdom",1991-07-08,British,Caucasian,"5'5""",110,34,H,34H-24-35,Blonde,Blue,2013-present,'Chessie King'
Chessie Rae,"Hartford, Connecticut, United States of America",1999-11-11,American,,,,34,DD,,,,,None
Chloe Lamour,Slovakia,1992-03-07,Slovak,Caucasian,"5'6""",154,36,F,36F-25-39,Brown,Brown,2018-present,"'Chloe D', 'Chloe La Moure', 'Chloe Lamoure', 'Chloe Lamur', 'Cloe Mendini', 'PD Chloe'"
Chloe Lexus,"London, England, United Kingdom",1991-05-05,British,Caucasian,"5'3""",95,34,E,34E-24-34,Brown,Green,2017-present,None
Christina Shine,"Budapest, Hungary",1988-12-31,Hungarian,Caucasian,"5'2""",114.4,34,D,34D-24-35,Blonde,Hazel,2015-present,None
Cindy Sun,"Jyvaskyla, Keski-Suomi, Finland",1990-01-23,Finnish,Caucasian,"5'4""",105.6,30,G,30G-26-32,Blonde,Blue,2015-present,'Sini Paananen'
Clanddi Jinkcego,"Paris, Ile-de-France, France",1982-07-07,French,Caucasian,"5'5""",114.4,34,G,34G-30-38,Brown,Blue,2004-2016,"'Clanddi Khd Jinkcego', 'Eeciahaa Dalifcka', 'Elysée Paradise'"
Corinna Blake,"Cincinnati, Ohio, United States of America",1988-08-06,American,Caucasian,"5'3""",112.2,34,E,34E-24-34,Blonde,Green,2014-present,"'Corinne Blake', 'Corrina Blake', 'Taylor Lee'"
Courtney Taylor,"Thousand Oaks, California, United States of America",1988-05-07,American,Caucasian,"5'9""",132,36,E,36E-24-36,Blonde,Hazel,2008-present,None
Crystal Rush,"Saint Petersburg, Russia",1988-10-05,Russian,Caucasian,"5'5""",99,34,C,34C-24-36,Black,Brown,2012-present,"'Anna Kuznetsova', 'Aurelly Rebel', 'Crystall Rush', 'Kristal Rush', 'Kristall Rush', 'Krystal Rush'"
Daisy Lee,"Příbram, Central Bohemia, Czech Republic",1997-09-20,Czech,Caucasian,"5'6""",116,38,D,38D-25-36,Blonde,Blue,2016-present,"'Daisee Lee', 'Daisy L', 'Karolina Urbanova'"
Daisy Monroe,"Las Vegas, Nevada, United States of America",1990-12-10,American,Caucasian,"5'0""",99,32,DD,32DD-23-33,Blonde,Blue,2015-2019,None
Dana Jayn,"Berlin, Germany",1986-08-04,German,Caucasian,"5'2""",143,34,D,,Black,Brown,2018-2018,None
Dani Jensen,"Ontario, California, United States of America",1987-12-26,American,Caucasian,"5'1""",103,32,C,32C-24-30,Red,Blue,2008-present,"'Brittany Batterblaster', 'Carina Thomas', 'Daisie Kellogg', 'Daizie Kellog', 'Daizie Kellogg', 'Danni Jensen', 'Diane Kellar', 'Dianne Kellar'"
Daniela Hansson,"Graz, Austria",1988-12-14,Austrian,Caucasian,"5'6""",121,34,G,,Blonde,Blue,2013-present,"'Daniela Cora', 'Daniela Cora Hansson', 'Daniela K', 'MyDirtyCat', 'sexmaus24'"
Danielle Derek,"Bloomfield, New Jersey, United States of America",1981-09-07,American,Caucasian,"5'4""",101.2,34,HH,34HH-23-32,Blonde,Blue,1999-present,"'Crystal', 'Danielle', 'Michelle Lacy'"
Danielle Maye,"London, England, United Kingdom",1989-04-29,British,Caucasian,"5'10""",114.4,34,EE,34EE-25-36,Blonde,Blue,2007-present,"'Ashlea Louise', 'Ashley O&apos;Mara', ""Ashley O'Mara"", 'Danielle', 'Danielle May', 'Jane (Fiona Cooper)'"
Danniella Levy,"Essex, England, United Kingdom",1989-10-25,British,Caucasian,"5'4""",125,32,K,32K-26-34,Brown,Brown,2015-present,"'Dani Levy', 'Danni Levy'"
Darling Danika,"Sacramento, California, United States of America",1985-10-29,American,Caucasian,"5'4""",118.8,34,F,34F-28-36,Black,Brown,2014-2018,None
Delta White,"Watford, England, United Kingdom",1981-12-31,British,Caucasian,"5'1""",114.4,30,G,30G-26-32,Blonde,Brown,2007-2017,'Hannah Panayides'
Destiny Dixon,"Cincinnati, Ohio, United States of America",1984-12-03,American,Caucasian,"5'9""",125.4,34,D,34D-24-36,Auburn,Brown,2009-present,'Destiny Summers'
Devon,"Allentown, Pennsylvania, United States of America",1977-03-28,American,Caucasian,"5'2""",94,34,D,34D-24-34,Blonde,Blue,1998-present,"'Christie Marie Lisa', 'Debra Dillon', 'Devin', 'Devin Striker', 'Devon Blue', 'Kristie Marie Lisa'"
